Alimento,Medida usual,g ou ml,CHO (g),Calorias (kcal),Calorias (kJ),Categoria,Subcategoria,Festas
Coca-Cola®,1 copo,200,21,85,356,,,
Coca-Cola®,1 copo,200,20,80,335,,,
Cocada,1 unidade média,70,40,259,1084,,,
Cocada,1 unidade média,70,37,405,1695,,,
Cocada light Santa Helena®,1 unidade média,70,37,405,1695,,,
Cocada queimada Brasil Caipira®,1 unidade,25,17,108,452,,,
Cocada queimada Brasil Caipira®,1 unidade,20,11,86,360,,,
Cocada Zero açúcar Santa Helena®,1 unidade,20,11,86,360,,,
Coco fresco ralado,1 colher de sopa,9,1,36,151,,,
Coco fresco ralado,1 xícara,100,15,354,1481,,,
Coco in natura,1 pedaço médio,40,4,162,678,,,
Coco ralado seco industrializado,1 colher de sopa,9,2,63,264,,,
"Coco-da-baía, água-de",1 copo,200,11,44,184,,,
"Coco-da-baía, água-de",1 copo,200,10,44,184,,,
"Coco, leite de (industrializado)",1 copo,200,4,332,1389,,,
Coentro,1 colher de sopa,8,4,25,105,,,
Cogumelo em conserva,1 colher de sopa,27,1,5,21,,,
Colomba Pascal frutas (Bauducco®),1 fatia,80,41,298,1247,,,
Colomba Pascal frutas cristalizadas Bauducco®,1 fatia média,60,29,187,782,,,
Colomba Pascal gotas de chocolate (Bauducco®),1 fatia,80,40,350,1464,,,
Colomba Pascal gotas de chocolate Bauducco®,1 fatia média,60,29,211,883,,,
Colomba Pascal gotas de chocolate Zero açúcar Casa Suíça®,1 fatia grande,80,46,328,1372,,,
Colomba Pascal salgada,1 porção,100,20,228,954,,,
Colomba Pascal® salgada,1 porção,100,20,228,954,,,
Colorau,1 colher de sopa,16,6,51,213,,,
Cominho em pó,1 colher de sopa,16,7,60,251,,,
Confeito de chocolate ao leite M&M's,1 colher de sopa,12,9,61,255,,,
Confeito de chocolate ao leite M&M's,1/2 pacote pequeno,25,18,121,506,,,
Conhaque,1 dose,50,0,103,431,,,
Cookie aveia e passas (Subway®),1 unidade,33,28,190,795,,,
Cookie cheescake com framboesa (Subway®),1 unidade,33,28,200,837,,,
Cookie cheesecake com framboesa (Subway®),1 unidade,45,29,200,837,,,
Cookie chocolate (Subway®),1 unidade,33,29,210,879,,,
Cookie chocolate branco com macadâmia (Subway®),1 unidade,45,28,220,920,,,
Cookie chocolate com gotas de chocolate (Subway®),1 unidade,45,30,210,879,,,
Cookies integrais chocolate Jasmine®,1 unidade,5,3,20,84,,,
Cookies integrais chocolate Jasmine®,6 unidades - porção,30,21,123,515,,,
Cookies integrais damasco com chocolate zero açúcar Jasmine®,1 unidade,4,2,11,46,,,
Cookies integrais damasco com chocolate zero açúcar Jasmine®,8 unidades - porção,30,14,90,377,,,
Cookies integral aveia e mel Taeq®,1 unidade,5,3,18,75,,,
Cookies integral aveia e mel Taeq®,6 unidades - porção,30,19,108,452,,,
Cookies integral quinua e banana Taeq®,6 unidades,30,17,123,515,,,
Cookies original Bauducco®,1 unidade,10,6,44,184,,,
Coração de frango,1 unidade média,5,0,7,29,,,
Coração de frango grelhado,1 unidade média,5,0,10,42,,,
Coração de galinha cozido,1 unidade média,5,0,8,33,,,
Costela de boi assada,1 pedaço médio,40,0,149,623,,,
Costela de boi assada,1 pedaço pequeno,30,0,136,569,,,
Costela de porco cozida,1 pedaço médio,25,0,100,418,,,
Costela de porco defumada,1 pedaço pequeno,15,0,62,259,,,
"Couve (""Kraut"")",1 folha média,20,1,10,42,,,
Couve (“Kraut”)®,1 folha média,20,1,10,42,,,
Couve crua,1 folha média,20,1,10,42,,,
Couve manteiga crua,1 colher de sopa,20,1,5,21,,,
Couve manteiga crua,1 folha média,20,1,5,21,,,
Couve manteiga refogada,1 colher de sopa,20,1,18,75,,,
Couve refogada,1 folha média,25,4,36,151,,,
Couve-flor à milanesa,1 ramo médio,90,11,137,573,,,
Couve-flor cozida,1 colher de sopa,25,1,5,21,,,
Couve-flor cozida,1 ramo médio,60,2,11,46,,,
Couve-flor cozida,1 ramo médio,60,4,25,105,,,
Coxa de frango assada,1 coxa média,100,0,215,900,,,
Coxa de frango assada,1 unidade grande,55,0,118,494,,,
Coxinha de frango,1 unidade grande,110,40,487,2038,,,
Coxinha de frango,1 unidade pequena,25,9,110,460,,,
Coxinha de frango (festa),1 unidade pequena,10,4,37,155,,,
Coxinha de frango (festa),1 unidade pequena (festa),15,5,42,176,,,
Coxinha de frango (salgado),1 unidade grande,110,38,311,1301,,,
Coxinha de frango (salgado),1 unidade média,50,17,141,590,,,
Coxinha de frango (salgado),1 unidade pequena,20,7,57,238,,,
Cream Cheese,1 colher de sopa,30,1,70,293,,,
Cream Cheese light,1 colher de sopa,30,1,58,243,,,
Creme de abacate sem açúcar,1 colher sopa cheia,25,3,43,180,,,
Creme de amendoim,1 colher de sopa rasa,15,3,91,381,,,
Creme de amendoim,1 colher de sopa rasa,20,4,125,523,,,
Creme de amendoim,1 unidade,25,17,108,452,,,
Creme de leite,1 colher de servir,30,1,66,276,,,
Creme de leite,1 colher de sopa rasa,15,1,46,192,,,
Creme de leite light Nestlé®,1 colher de servir,30,1,48,201,,,
Creme de milho,1 colher de sopa cheia,33,5,35,146,,,
Creme vegetal de chantilly Vigor®,1 colher de sopa,20,2,55,230,,,
Cremogema chocolate,1 colher de sopa cheia,20,17,72,301,,,
Cremogema tradicional®,1 colher de sopa,10,9,36,151,,,
Crepe de banana com chocolate,1 unidade grande,100,32,250,1046,,,
Crepe de maçã diet,1 unidade,100,18,110,460,,,
Crepe de presunto e queijo,1 unidade grande,100,13,229,958,,,
Croissant,1 unidade grande,67,32,277,1159,,,
Croissant,1 unidade grande,80,32,328,1372,,,
Croissant,1 unidade média,40,19,165,690,,,
Croissant de chocolate,1 unidade grande,67,28,279,1167,,,
Croissant de chocolate,1 unidade pequena,57,24,237,992,,,
Croissant de queijo,1 unidade grande,67,32,277,1159,,,
Croissant de queijo,1 unidade média,80,32,388,1623,,,
Croquete de Carne,1 unidade grande,55,21,190,795,,,
Croquete de Carne frito,1 unidade grande,55,10,191,799,,,
Croquete de Carne frito,1 unidade média,25,5,87,364,,,
Croquete de Carne frito,1 unidade pequena,10,2,35,146,,,
Croquete de carne/milho,1 unidade pequena,10,4,35,146,,,
Croquete de milho,1 unidade média,22,10,77,322,,,
Croquete de milho,1 unidade pequena,10,4,35,146,,,
Cuca alemã,1 fatia,100,33,209,874,,,
Cuca alemã,1 fatia média,60,30,200,837,,,
Cup noodles®,1 unidade comercial,69,39,302,1264,,,
Cup noodles®,1 unidade comercial,65,38,300,1255,,,
Cupuaçu (creme),1 colher de sopa cheia,20,5,135,565,,,
Cupuaçu (polpa),1 colher de sopa cheia,20,2,10,42,,,
Curau de milho,2/3 xícara de chá,140,19,109,456,,,
Curau de milho,2/3 xícara de chá,140,33,162,678,,,
Curry,1 colher de sopa,9,5,35,146,,,
Curry,1 colher de sopa cheia,9,5,34,142,,,
Cuscuz de milho,1 pedaço pequeno,85,34,161,674,,,
Cuscuz de milho com sal,1 pedaço médio,135,34,152,636,,,
Cuscuz de milho com sal,1 pedaço pequeno,85,21,96,402,,,
Cuscuz de tapioca,1 pedaço médio,120,65,298,1247,,,
Cuscuz de tapioca,1 pedaço pequeno,60,33,149,623,,,
Cuscuz paulista,1 colher de sopa,35,8,50,209,,,
Cuscuz paulista,1 fatia pequena,80,34,161,674,,,
Cuscuz paulista,1 pedaço médio,150,34,213,891,,,
Damasco seco,1 unidade,7,4,18,75,,,
Damasco seco,1 unidade pequena,7,2,9,38,,,
"Damasco, geléia de",1 colher de sopa,20,13,52,218,,,
"Damasco, geléia Queensberry®",1 colher de sopa,20,14,58,243,,,
Danette®,1 unidade,90,15,116,485,,,
Danette®,1 unidade,110,25,166,695,,,
Danette® chocolate branco,1 unidade,90,19,121,506,,,
Danoninho®,1 potinho,40,5,39,163,,,
Danoninho®,1 sachê / embalagem,70,8,69,289,,,
Diet Shake® Tradicional morango,1 colher medida,12,8,35,146,,,
Dobradinha,1 colher de servir cheia,70,0,87,364,,,
Dobradinha,1 concha pequena,100,8,111,464,,,
Dobradinha com feijão branco,1 colher de servir cheia,70,6,78,326,,,
Doce de abacaxi,1 colher de sopa cheia,40,32,130,544,,,
Doce de abacaxi Ritter®,1 colher de sopa,20,10,41,172,,,
Doce de abóbora cremoso,1 colher de sopa,40,29,162,678,,,
Doce de abóbora cremoso,1 colher de sopa cheia,40,22,80,335,,,
Doce de abóbora e coco,1 colher de sopa,40,21,97,406,,,
Doce de abóbora e coco,1 colher de sopa cheia,40,18,83,347,,,
Doce de arroz de leite,1 colher de sopa cheia,40,13,68,285,,,
Doce de banana em barra,1 fatia pequena,30,23,84,351,,,
Doce de batata doce,1 fatia pequena,30,22,121,506,,,
Doce de batata doce,1 porção pequena,30,22,121,506,,,
Doce de buriti,1 colher de sopa cheia,50,35,152,636,,,
Doce de buriti,1 colher de sopa cheia,50,41,165,690,,,
Doce de cidra,1 colher de sopa,50,20,81,339,,,
Doce de coco,1 colher de sopa cheia,50,29,234,979,,,
Doce de coco,1 colher de sopa cheia,40,21,219,916,,,
Doce de cupuaçu,1 colher de sopa,40,29,112,469,,,
Doce de cupuaçu,1 colher de sopa,40,30,118,494,,,
Doce de goiaba,1 colher de sopa,20,16,57,238,,,
Doce de goiaba,1 colher de sopa cheia,50,21,86,360,,,
Doce de goiaba diet Flormel®,1 colher de sopa,20,10,39,163,,,
Doce de goiaba em calda Diet House®,1 colher de sopa,20,6,23,96,,,
Doce de goiaba em calda sem açúcar Diet House®,1 colher de sopa,20,6,24,100,,,
Doce de laranja azeda,1 colher de sopa cheia,50,40,153,640,,,
Doce de laranja Diet House®,1 colher de sopa,20,2,9,38,,,
Doce de laranja em calda,1 pedaço médio,57,48,196,820,,,
Doce de laranja sem açúcar Diet House®,1 colher de sopa,20,3,12,50,,,
Doce de leite,1 colher de sobremesa,25,15,76,318,,,
Doce de leite,1 colher de sopa cheia,40,24,122,510,,,
Doce de leite,1 colher de sopa cheia,40,22,116,485,,,
Doce de leite zero açúcar Flormel®,1 colher de sopa,20,9,46,192,,,
Doce de limão,1 colher de sopa cheia,50,27,107,448,,,
Doce de mamão verde,1 colher de sopa,40,23,84,351,,,
Doce de mamão verde,1 colher de sopa,40,19,78,326,,,
Doce de manga,1 colher de sopa cheia,50,27,140,586,,,
Doce de ovos,1 colher de sopa cheia,40,6,52,218,,,
Docinhos variados (média),1 unidade média,30,16,125,523,,,
Donuts,1 unidade média,70,33,245,1025,,,
Doriana® cremosa,1 colher de sopa,10,0,59,247,,,
Doriana® light,1 colher de sopa,10,0,32,134,,,
Double barbecue Cheese (Bob's®),1 unidade,0,36,401,1678,,,
Double cheddar (Bob’s®),1 unidade,210,32,484,2025,,,
Double cheddar (Habib’s®),1 unidade,335,35,668,2795,,,
Double cheddar (Habibs®),1 unidade,315,32,593,2481,,,
Double cheddar frango (Bob's®),1 unidade,0,29,335,1402,,,
Double Cheeseburger (Bob's®),1 unidade,0,25,399,1669,,,
Double cheeseburguer (Bob’s®),1 unidade,185,33,512,2142,,,
Double grill bacon (Bob’s®),1 unidade,488,58,1314,5498,,,
Drops comum,1 unidade,3,3,11,46,,,
Eclair (bomba de chocolate),1 unidade grande,80,10,126,527,,,
Eclair (bomba de chocolate),1 unidade média,50,7,79,331,,,
Eclair (bomba de chocolate),1 unidade pequena,30,4,47,197,,,
Edamame cozido,1 colher de sopa cheia,20,2,23,96,,,
Edamame cozido,1 colher de sopa rasa,15,2,17,71,,,
"Eggs Benedict (prato à base de ovos, bacon, pão, molho holandês)",1 porção grande,155,13,428,1791,,,
"Eggs Benedict (prato à base de ovos, bacon, pão, molho holandês)",1 porção média,149,13,411,1720,,,
Empada de camarão,1 porção média,55,12,116,485,,,
Empada de camarão,1 porção pequena (de festa),12,3,26,109,,,
Empada de frango,1 unidade grande,70,33,251,1050,,,
Empada de frango,1 unidade média,55,26,197,824,,,
Empada de frango,1 unidade média,55,14,197,824,,,
Empada de frango,1 unidade pequena,12,6,43,180,,,
Empada de Palmito,1 unidade,55,14,129,540,,,
Empada de palmito,1 unidade grande,95,24,223,933,,,
Empada de palmito,1 unidade média,55,14,129,540,,,
Empada de palmito,1 unidade pequena,12,3,16,67,,,
Empada de queijo,1 porção grande,67,14,215,900,,,
Empada de queijo,1 porção média,25,45173,80,335,,,
Empadão goiano,1 pedaço médio,300,48,618,2586,,,
Empadão goiano,1 unidade média,300,48,618,2586,,,
Empadinha,1 unidade pequena,12,4,56,234,,,
Empadinha,1 unidade pequena (de festa),12,4,56,234,,,
Empanada de carne tradicional,1 unidade média,90,20,263,1100,,,
"Enchilada com carne, feijões e queijo",1 porção média,129,23,231,967,,,
Enchilada de frango e queijo com molho de tomate,1 porção média,126,19,234,979,,,
Enchilada de queijo,1 unidade média,163,29,319,1335,,,
Enrolado de Presunto e Queijo,1 unidade,40,15,114,477,,,
Enrolado de presunto e queijo,1 unidade média,40,15,114,477,,,
Enrolado de salsicha,1 unidade média,27,3,79,331,,,
Enrolado de salsicha,1 unidade pequena (de festa),15,2,44,184,,,
Ensure em pó (sabores),1 colher medida,10,1,40,167,,,
Ensure plus (sabores),1 porção (tetra pack),200,40,300,1255,,,
Ensure plus advance,1 garrafinha,220,38,330,1381,,,
Ensure protein,1 garrafinha,220,36,275,1151,,,
"Eqlibri® (mini crackers, original e sabores)",1 pacote,22,17,100,418,,,
"Eqlibri® (panetini, sabores)",1 embalagem,40,25,175,732,,,
Eqlibri® (torradas),1 pacotinho individual,50,29,193,808,,,
Ervilha em conserva,1 colher de arroz cheia,38,6,28,117,,,
Ervilha em conserva,1 colher de sopa cheia,27,4,20,84,,,
Ervilha verde cozida,1 colher de sopa cheia,30,4,26,109,,,
Escarola (endivia) crua,gramas,100,3,12,50,,,
Escondidinho de Carne Seca,1 porção média,200,28,339,1418,,,
Escondidinho de Carne Seca,1 xícara,240,34,407,1703,,,
Esfiha de calabresa (Habib s®),1 unidade,75,17,130,544,,,
Esfiha de calabresa (Habib’s®),1 unidade,75,17,130,544,,,
Esfiha de calabresa (Habibs®),1 unidade,75,17,130,544,,,
Esfiha de carne aberta,1 unidade,75,18,125,523,,,
Esfiha de carne aberta,1 unidade média,75,18,125,523,,,
Esfiha de carne fechada,1 unidade média,80,29,203,849,,,
Esfiha de carne fechada,1 unidade pequena,25,9,64,268,,,
Esfiha de espinafre (Habib s®),1 unidade,80,17,122,510,,,
Esfiha de espinafre (Habib’s®),1 unidade,80,17,122,510,,,
Esfiha de espinafre (Habibs®),1 unidade,80,17,122,510,,,
Esfiha de frango (Habib s®),1 unidade,75,18,115,481,,,
Esfiha de frango (Habib’s®),1 unidade,75,18,115,481,,,
Esfiha de frango (Habibs®),1 unidade,75,18,115,481,,,
Esfiha de queijo,1 porção média,13,5,47,197,,,
Esfiha de queijo,1 porção pequena,73,27,263,1100,,,
Esfiha folhada de cheddar com pepperoni (Habib s®),1 unidade,55,11,201,841,,,
Esfiha folhada de cheddar com pepperoni (Habib’s®),1 unidade,55,11,201,841,,,
Esfiha folhada de cheddar com pepperoni (Habibs®),1 unidade,55,11,201,841,,,
Esfiha folhada de chocolate (Habib s®),1 unidade,45,16,199,833,,,
Esfiha folhada de chocolate (Habib’s®),1 unidade,45,16,199,833,,,
Esfiha folhada de chocolate (Habibs®),1 unidade,45,16,199,833,,,
Esfiha folhada de chocolate com M&M s® (Habib s),1 unidade,65,28,295,1234,,,
Esfiha folhada de chocolate com M&M’s® (Habib’s),1 unidade,65,28,295,1234,,,
Esfiha folhada de chocolate com M&M’s® (Habib’s®),1 unidade,65,28,295,1234,,,
Esfiha folhada de chocolate com M&M's® (Habibs),1 unidade,65,28,295,1234,,,
Eskibon® (picolé clássico),1 unidade,48,15,147,615,,,
Espaguete ao sugo,1 pegador médio,110,24,112,469,,,
Espaguete com molho de tomate,1 pegador médio,110,24,112,469,,,
Espaguete com molho de tomate,1 xícara,220,48,224,937,,,
Espaguete cozido,1 pegador médio,110,39,112,469,,,
Espaguete cozido,1 xícara,220,43,220,920,,,
Espaguete de trigo integral,1 pegador médio,110,19,86,360,,,
Espaguete de trigo integral,1 xícara,220,37,172,720,,,
Espinafre cru,1 colher de sopa cheia,20,0,4,17,,,
Espinafre refogado,1 colher de sopa cheia,25,2,27,113,,,
Estrogonofe de carne,1 colher de arroz cheia,40,2,62,259,,,
Estrogonofe de carne,1 colher de sopa cheia,25,1,39,163,,,
Estrogonofe de carne,1 concha média cheia,170,7,266,1113,,,
Estrogonofe de frango,1 colher de arroz cheia,40,2,69,289,,,
Estrogonofe de frango,1 colher de sopa cheia,25,1,43,180,,,
Estrogonofe de frango,1 concha média cheia,170,7,293,1226,,,
Estrogonoff de filé mignon (Backed Potato®),1 concha,85,0,146,611,,,
Estrogonoft de filé mignon (Backed Potato®),1 concha,85,0,146,611,,,
Estrogonofte de carne,1 colher de sopa cheia,25,1,39,163,,,
Estrogonofte de frango,1 colher de sopa cheia,25,1,43,180,,,
Extrato de malte,1 colher de sopa cheia,15,10,42,176,,,
Extrato de tomate,1 colher de sopa,15,2,10,42,,,
Faisalim (Habibs®),1 unidade,80,35,240,1004,,,
Falafel,1 porção,100,38,152,636,,,
Falafel (bolinho de grâo de bico),1 porção,100,20,155,649,,,
Falafel (bolinho de grão de bico),1 porção,100,20,155,649,,,
Falafel (bolinho de grão de bico),1 unidade média,50,10,78,326,,,
Fandangos® (salgadinho de milho sabores),1 pacote de 140g,140,59,639,2674,,,
Fandangos® (salgadinho de milho sabores),1 pacote de 22g,22,15,100,418,,,
Fandangos® (salgadinho de milho sabores),1 pacote de 37g,37,20,170,711,,,
Fandangos® (salgadinho de milho sabores),1 pacote de 45g,45,30,222,929,,,
Fandangos® (salgadinho de milho sabores),1 pacote de 80g,80,52,365,1527,,,
Fandangos® (salgadinho de milho sabores),1 pacote de 90g,90,59,411,1720,,,
Fanta laranja,1 copo,200,22,90,377,,,
Fanta laranja,1 lata,350,39,158,661,,,
Fanta® laranja,1 copo,200,22,90,377,,,
Farelo de Aveia,1 colher de chá,4,"0,5",16,67,,,
Farelo de Aveia,1 colher de sobremesa,8,6,32,134,,,
Farelo de Aveia,1 colher de sopa,15,10,60,251,,,
Farelo de trigo,1 colher de sobremesa cheia,7,4,22,92,,,
Farelo de trigo,1 colher de sopa cheia,9,5,28,117,,,
Farfalle cozido,1 xícara,80,60,286,1197,,,
Farinha d'água-do-pará,1 copo descartável pequeno,50,41,166,695,,,
Farinha d’água-do-pará,1 copo descartável pequeno,50,41,166,695,,,
Farinha de amaranto,1 colher de sopa cheia,25,17,91,381,,,
Farinha de amaranto,1 colher de sopa rasa,10,7,37,155,,,
Farinha de amêndoas,1 colher de sopa,"6,5",2,37,155,,,
Farinha de amêndoas,1 xícara,120,24,677,2833,,,
Farinha de arroz,1 colher de sopa cheia,17,14,60,251,,,
Farinha de arroz integral,1 colher de sopa cheia,17,13,62,259,,,
Farinha de arroz integral,1 xícara,158,121,574,2402,,,
Farinha de centeio integral,1 colher de sopa cheia,15,11,54,226,,,
Farinha de centeio integral,1 xícara,158,130,558,2335,,,
Farinha de centeio integral,1 xícara,128,94,569,2381,,,
Farinha de chia,1 colher de sobremesa,7,3,34,142,,,
Farinha de chia,1 colher de sopa,10,4,51,213,,,
Farinha de coco,1 colher de chá,6,"3,37","26,28",110,,,
Farinha de coco,1 colher de sopa cheia,12,"6,75","52,56",220,,,
Farinha de coco,1 colher de sopa rasa,10,"2,62","43,8",183,,,
Farinha de mandioca,1 colher de sopa cheia,16,14,57,238,,,
Farinha de milho,1 colher de sopa cheia,15,12,54,226,,,
Farinha de milho integral,1 colher de sopa cheia,15,11,53,222,,,
Farinha de milho integral,1 xícara,120,88,424,1774,,,
Farinha de rosca,1 colher de sopa cheia,15,11,61,255,,,
Farinha de rosca,1 xícara,80,59,325,1360,,,
Farinha de tapioca com coco e açúcar,1 colher de sopa cheia,25,21,107,448,,,
Farinha de trigo,1 colher de sobremesa,5,4,18,75,,,
Farinha de trigo,1 colher de sopa cheia,20,15,71,297,,,
Farinha de trigo,1 colher de sopa rasa,13,10,46,192,,,
Farinha de trigo,1 xícara,165,124,586,2452,,,
Farinha láctea,1 colher de sopa rasa,8,6,30,126,,,
Farinha láctea (Nestlé®),1 colher de sopa rasa,8,6,30,126,,,
Farofa,1 colher de sopa cheia,15,12,71,297,,,
Farofa com Bacon,1 colher de sopa cheia,45,26,206,862,,,
Farofa com linguiça,1 colher de arroz cheia,45,21,162,678,,,
Farofa com linguiça,1 colher de sobremesa cheia,10,5,36,151,,,
Farofa com linguiça,1 colher de sopa cheia,15,7,54,226,,,
Farofa com lingüiça,1 colher de sopa cheia,15,7,54,226,,,
Farofa com tempero/óleo,1 colher de sopa cheia,15,12,71,297,,,
Farofa de farinha de mandioca,1 colher de arroz cheia,75,60,288,1205,,,
Farofa de farinha de mandioca,1 colher de sopa cheia,25,20,96,402,,,
Farofa simples,1 colher de arroz cheia,45,36,213,891,,,
Farofa simples,1 colher de sobremesa,8,6,32,134,,,
Farofa simples,1 colher de sobremesa cheia,10,8,48,201,,,
Farofa simples,1 colher de sopa cheia,15,12,71,297,,,
Fatouche,1 porção,100,5,162,678,,,
"Fava, grãos, cozidos",1 colher de servir cheia,35,8,38,159,,,
"Fava, grãos, cozidos",1 colher de sopa cheia,31,7,34,142,,,
"Fava, grãos, cozidos",1 concha média cheia,140,30,154,644,,,
"Fava, grãos, cozidos",1 concha rasa,80,17,88,368,,,
"Fava, grãos, cozidos",1 xícara,90,23,113,473,,,
Feijão azuki cozido,1 colher de arroz,35,9,45,188,,,
Feijão azuki cozido,1 colher de sopa,17,5,22,92,,,
Feijão branco cozido,1 colher de sopa,17,4,20,84,,,
Feijão branco cozido,1 colher de sopa cheia,17,4,20,84,,,
Feijão branco cozido,1 concha média rasa,80,112,21,88,,,
Feijão carioquinha cozido,1 colher de sopa cheia,17,3,19,79,,,
Feijão carioquinha cozido,1 concha média rasa,80,14,89,372,,,
Feijão preto cozido,1 colher de sopa cheia,17,2,13,54,,,
Feijão preto cozido,1 concha média cheia,140,18,107,448,,,
Feijão preto cozido,1 concha média rasa,80,10,61,255,,,
Feijão tropeiro,1 colher de sopa cheia,15,7,50,209,,,
Feijão tropeiro,1 concha média rasa,70,33,206,862,,,
Feijão verde cozido,1 xícara,110,8,34,142,,,
Feijão-fradinho,1 colher de sopa cheia,17,2,13,54,,,
Feijão-fradinho cozido,1 colher de sopa cheia,17,2,13,54,,,
Feijoada caseira,1 colher de sopa cheia,35,4,54,226,,,
Feijoada caseira,1 concha média cheia,225,24,346,1448,,,
Fermento biológico,1 tablete,15,1,155,649,,,
Fermento em pó,1 colher de sopa rasa,10,4,17,71,,,
Fettuccine,1 pegador,110,24,150,628,,,
Fettuccine,1 pegador médio,110,24,150,628,,,
Fettuccine,1 xícara,140,43,100,418,,,
Fettuccine à bolonhesa,1 porção média,350,49,458,1916,,,
Fettuccine a bolonhesa (Perdigão®),1 porção,350,49,458,1916,,,
Fettuccine cozido,1 xícara,140,43,220,920,,,
Fígado de boi grelhado,1 bife médio,110,5,239,1000,,,
Fígado de boi grelhado,1 bife médio,100,4,225,941,,,
Fígado de galinha cru,1 unidade média,70,4,95,397,,,
Fígado de galinha cru,1 unidade média,30,1,53,222,,,
Figo,1 unidade média,55,8,38,159,,,
Figo cristalizado,1 unidade,30,22,86,360,,,
Figo cristalizado,1 unidade média,30,22,86,360,,,
Figo enlatado em calda,1 unidade,20,10,38,159,,,
Figo enlatado em calda,1 unidade média,20,10,38,159,,,
Figo seco,1 unidade média,30,20,75,314,,,
Filé a parmeggiana,1 unidade pequena,150,13,490,2050,,,
File ao molho madeira,1 unidade pequena,180,12,227,950,,,
Filé mignon a parmegiana/empanado,1 unidade grande,125,13,427,1787,,,
Filé mignon a parmegiana/empanado,1 unidade média,100,10,341,1427,,,
Filé mignon ao molho madeira,1 unidade pequena,180,12,227,950,,,
Filhós (doce típico da região da Galiza),1 unidade média,65,26,159,665,,,
Financier de amêndoas,1 unidade média,10,7,54,226,,,
Fios de ovos,1 xícara,120,37,1458,6100,,,
"Flan dietético, em pó, preparado Lowçucar®",1 porção preparada conforme descrito pelo fabricante,125,4,125,523,,,
Flan tradicional (com açúcar),1 colher de sopa cheia,25,5,33,138,,,
"Flan tradicional (com açúcar) (média das marcas Paulista®, Batavo®, Frimesa®, Nestlé®)",1 potinho,100,115,23,96,,,
Flocos de milho,1 colher de sopa,10,9,38,159,,,
Flocos de milho sem açúcar,1 colher de sopa,10,9,38,159,,,
Flocos de milho sem açúcar,1 xícara,28,26,107,448,,,
Focaccia,1 fatia,50,22,136,569,,,
Focaccia,1 fatia média,57,27,182,761,,,
Fofura® (salgadinho de milho sabores),1 pacote grande,90,54,1731,7243,,,
Fofura® (salgadinho de milho sabores),1 pacote pequeno,40,24,770,3222,,,
Fogazza de calabresa (Habib’s®),2 unidade,70,22,186,778,,,
Fogazza de calabresa (Habibs®),1 unidade,70,22,186,778,,,
Fogazza de mussarela (Habib’s®),3 unidades,70,21,200,837,,,
Fogazza de mussarela (Habibs®),1 unidade,70,21,200,837,,,
Folhado de frango,1 unidade média,40,9,109,456,,,
Fondue de carne,1 bife médio,90,0,180,753,,,
"Fondue de carne (somente a carne, sem os acompanhamentos)",1 bife médio,90,0,180,753,,,
Fondue de chocolate,1 colher sopa,30,15,105,439,,,
"Fondue de chocolate (somente o ganache de chocolate, sem os acompanhamentos)",1 colher sopa,30,15,105,439,,,
Fondue de queijo (Gramado®),1 colher de sopa (molho),30,1,70,293,,,
"Fondue de queijo (somente o queijo, sem os acompanhamentos)",1 colher de sopa do molho,30,1,70,293,,,
"Fondue de queijo (somente o queijo, sem os acompanhamentos)",1 xícara,214,8,492,2059,,,
Framboesa,1 unidade média,15,2,8,33,,,
Framboesa,1 xícara,123,15,64,268,,,
Framboesa,4 unidades médias,12,1,16,67,,,
"Framboesa, doce em pasta",1 colher de sopa cheia,50,35,143,598,,,
"Framboesa, geléia de",1 colher de sobremesa cheia,26,19,73,305,,,
"Framboesa, geléia de",1 colher de sobremesa rasa,11,8,31,130,,,
"Framboesa, geléia de",1 colher de sopa cheia,34,24,97,406,,,
"Framboesa, geléia de",1 colher de sopa rasa,22,16,62,259,,,
Francesinha (sanduíche de origem portuguesa),1 sanduíche,795,67,1130,4728,,,
Frango à milanesa,1 filé grande,190,13,419,1753,,,
Frango à milanesa,1 filé médio,140,9,310,1297,,,
Frango à milanesa,1 filé pequeno,100,7,221,925,,,
Frango à milanesa,1 filé pequeno,100,14,311,1301,,,
Frango à passarinho,1 unidade média,65,0,129,540,,,
Frango à paulista,1 filé grande,190,2,491,2054,,,
Frango à paulista,1 filé médio,130,2,336,1406,,,
Frango à paulista,1 filé pequeno,90,1,207,866,,,
Frango agridoce,1 coxa de frango com molho,90,9,69,289,,,
Frango agridoce,1/2 peito de frango com molho,131,15,117,490,,,
Frango assado,1 asa média,32,0,92,385,,,
Frango assado,1 coxa grande,65,0,1,4,,,
Frango assado,1 coxa média,49,0,81,339,,,
Frango assado,1 sobrecoxa grande,84,0,206,862,,,
Frango assado,1 sobrecoxa média,65,0,78,326,,,
Frango assado,1/2 peito médio,85,0,237,992,,,
Frango com requeijão (Backed Potato®),1 concha,85,0,110,460,,,
Frango com requeijão (Baked Potato®),1 concha,85,0,139,582,,,
Frango cozido,1 colher de sopa,20,0,33,138,,,
Frango cozido,1 sobrecoxa média,65,0,82,343,,,
Frango filé cozido,1 filé pequeno,100,0,163,682,,,
Frango frito,1 coxa grande,65,0,94,393,,,
Frango frito,1 coxa média,49,0,119,498,,,
Frango frito,1/2 peito grande,96,0,180,753,,,
Frango frito,1/2 peito médio,86,0,158,661,,,
Frango frito,1/2 peito pequeno,75,0,138,577,,,
